row_meta,highway,hw-culvert-1,Large Culvert (1),TH 4 culvert at Flower Brook,,,"Undersized 36in; washed out in July 2024 storm; design FY27 + build FY28; FEMA HMGP eligible",,,,,,
row_meta,highway,hw-culvert-2,Large Culvert (2),TH 12 cross culvert,,,"Rusted corrugated metal; upgrade to 48in HDPE",,,,,,
row_meta,highway,hw-bridge-1,Bridge (1),Bridge #7 TH 3 deck rehab,,,"Posted 24 tons; VTrans town bridge program covers 80% of design; local share shown",,,,,,
row_meta,highway,hw-salt,Salt Shed,,,,"Current tarp cover failing; state compliance issue with uncovered salt storage",,,,,,
row_meta,highway,hw-other-1,Other,Annual gravel road maintenance,,,"Ongoing: ditching, gravel, calcium chloride for ~18 miles of Class 3 roads",,,,,,
row_meta,facilities,fac-town-office,Town Office / Town Hall,,,"122 School St. PACIF replacement value $1,575,608. ADA-accessible entrance + records vault needed (legal obligation). FY27: design.",,,,,,
row_meta,facilities,fac-town-garage,Town Garage,,,"313 Danby Pawlet Rd. PACIF replacement value $317,706. Metal roof rusting through; fix before it damages equipment stored inside.",,,,,,
row_meta,facilities,fac-town-shed,Town Shed,West Pawlet Town Shed,,,"3307 VT Rte 153. PACIF replacement value $450,999. Siding and door repairs.",,,,,,
row_meta,facilities,fac-library,Library,,,"141 School St. PACIF replacement value $1,161,445. FY28: energy audit + window assessment; FY29: window replacement + insulation. Single-pane windows, oil boiler at end of life.",,,,,,
row_meta,water,ww-plant,Wastewater Treatment Plant,,,"49 Railroad Ave. PACIF replacement value $2,506,056 (building + contents $130K). FY29: engineering study; FY30: process upgrades for nutrient/disinfection compliance.",,,,,,
row_meta,water,ww-pump-1,Pump Station (1),West Pawlet pump station,,,"3307 VT Rte 153. PACIF replacement value $42,900. Original pumps + controls; rebuild before failure.",,,,,,
row_meta,water,ww-pump-2,Pump Station (2),Egg St pump station,,,"Egg St. PACIF replacement value $29,140. Controls upgrade.",,,,,,
row_meta,water,ww-generator,Backup Generator,,,"At WWTP, 49 Railroad Ave. PACIF replacement value $43,477. No backup power currently; extended outage = untreated discharge.",,,,,,
row_meta,water,ww-other-1,Other,Sewer line inspection + lining,,,"CCTV inspect oldest collection lines; line worst sections to avoid dig-up",,,,,,
row_meta,equipment,eq-dump-1,Dump Truck (1),2013 Mack Dump,,,"13 years old in FY26; est. lifespan 26-27 years from Equipment Plan. Replace FY27. Est $275K.",,,,,,
row_meta,equipment,eq-dump-2,Dump Truck (2),2018 Mack Dump,,,"Est. lifespan to FY28-30 per Equipment Plan. Schedule to avoid overlap with Dump 1.",,,,,,
row_meta,equipment,eq-grader,Grader,,,"2003 JD Grader; est. lifespan to ~FY30 per Equipment Plan. Parts hard to find. Over 20 years old.",,,,,,
row_meta,equipment,eq-loader,Loader,,,"2004 JD Loader; est. lifespan to ~FY32 per Equipment Plan. Downtime during storms getting costly.",,,,,,
row_meta,equipment,eq-backhoe,Backhoe / Excavator,,,"2015 JD Backhoe; Equipment Plan says 'keep forever and buy excavator.' Purchase excavator to replace rented machines for culvert/ditch work.",,,,,,
row_meta,equipment,eq-tractor,Tractor,2005 New Holland,,,"Est. lifespan 30-35 years (to ~FY35-40). Tractor mower heads + blower purchased ~2021 go with it.",,,,,,
row_meta,equipment,eq-pickup-1,Pickup / One-Ton (1),2020 Ram Pickup,,,"Est. replace FY27-28 per Equipment Plan. $90K est.",,,,,,
row_meta,equipment,eq-small,Small Equipment & Attachments,,,"York Rake (2007, 'forever'), tractor mower (2021), tractor blower (2021), sanders, misc. Steady annual allocation.",,,,,,
row_meta,equipment,eq-other-1,Other,2002 Eager Beaver Chipper,,,"Est. replace FY28-29 per Equipment Plan. $50K est.",,,,,,
note,,,,,,,"Data sources: Pawlet Equipment Replacement Plan (town-provided); VLCT PACIF Policy Property Schedule PACIF1485-26 (01/20/2026). FY28 is the tightest year - culvert build, backhoe/excavator, chipper, pickup, and road paving all land there. Existing debt service pays off end of FY28, freeing ~$42K/yr from FY29. 2008 IH Dump marked NA for replacement (likely being retired). 2025 Freightliner is new, lifespan 35+ years. Consider phasing backhoe/excavator to FY29 if FY28 is overloaded.",,,,,,
